happy,unhappy,0.7,prefix_negation
able,unable,0.7,prefix_negation
possible,impossible,0.7,prefix_negation
legal,illegal,0.7,prefix_negation
regular,irregular,0.7,prefix_negation
appropriate,inappropriate,0.7,prefix_negation
sensitive,insensitive,0.7,prefix_negation
honest,dishonest,0.7,prefix_negation
agree,disagree,0.7,prefix_negation
like,dislike,0.75,prefix_negation
connect,disconnect,0.75,prefix_negation
approve,disapprove,0.7,prefix_negation
appear,disappear,0.75,prefix_negation
configure,misconfigure,0.7,prefix_negation
lead,mislead,0.7,prefix_negation
understand,misunderstand,0.7,prefix_negation
view,preview,0.75,prefix_pre
paid,prepaid,0.75,prefix_pre
historic,prehistoric,0.7,prefix_pre
heat,preheat,0.75,prefix_pre
determine,predetermine,0.75,prefix_pre
write,rewrite,0.8,prefix_re
do,redo,0.8,prefix_re
build,rebuild,0.8,prefix_re
read,reread,0.8,prefix_re
visit,revisit,0.8,prefix_re
start,restart,0.8,prefix_re
configure,reconfigure,0.8,prefix_re
organize,reorganize,0.8,prefix_re
work,overwork,0.75,prefix_over
load,overload,0.75,prefix_over
flow,overflow,0.75,prefix_over
charge,overcharge,0.75,prefix_over
react,overreact,0.75,prefix_over
estimate,underestimate,0.75,prefix_under
ground,underground,0.7,prefix_under
water,underwater,0.7,prefix_under
paid,underpaid,0.75,prefix_under
cooked,undercooked,0.75,prefix_under
marine,submarine,0.7,prefix_sub
way,subway,0.7,prefix_sub
zero,subzero,0.7,prefix_sub
category,subcategory,0.8,prefix_sub
title,subtitle,0.8,prefix_sub
natural,supernatural,0.7,prefix_super
market,supermarket,0.7,prefix_super
hero,superhero,0.75,prefix_super
impose,superimpose,0.75,prefix_super
happy,happiness,0.85,suffix_ness
sad,sadness,0.85,suffix_ness
dark,darkness,0.85,suffix_ness
kind,kindness,0.85,suffix_ness
weak,weakness,0.85,suffix_ness
aware,awareness,0.85,suffix_ness
sick,sickness,0.85,suffix_ness
bold,boldness,0.85,suffix_ness
good,goodness,0.85,suffix_ness
move,movement,0.85,suffix_ment
develop,development,0.85,suffix_ment
improve,improvement,0.85,suffix_ment
agree,agreement,0.85,suffix_ment
treat,treatment,0.85,suffix_ment
manage,management,0.85,suffix_ment
excite,excitement,0.85,suffix_ment
govern,government,0.85,suffix_ment
act,action,0.85,suffix_tion
create,creation,0.85,suffix_tion
educate,education,0.85,suffix_tion
decide,decision,0.85,suffix_tion
divide,division,0.85,suffix_tion
organize,organization,0.85,suffix_tion
communicate,communication,0.85,suffix_tion
produce,production,0.85,suffix_tion
active,activity,0.85,suffix_ity
possible,possibility,0.85,suffix_ity
real,reality,0.85,suffix_ity
similar,similarity,0.85,suffix_ity
popular,popularity,0.85,suffix_ity
complex,complexity,0.85,suffix_ity
quick,quickly,0.9,suffix_ly
slow,slowly,0.9,suffix_ly
careful,carefully,0.9,suffix_ly
happy,happily,0.9,suffix_ly
easy,easily,0.9,suffix_ly
beautiful,beautifully,0.9,suffix_ly
complete,completely,0.9,suffix_ly
serious,seriously,0.9,suffix_ly
perfect,perfectly,0.9,suffix_ly
clear,clearly,0.9,suffix_ly
care,careful,0.85,suffix_ful
hope,hopeful,0.85,suffix_ful
beauty,beautiful,0.85,suffix_ful
power,powerful,0.85,suffix_ful
success,successful,0.85,suffix_ful
pain,painful,0.85,suffix_ful
truth,truthful,0.85,suffix_ful
care,careless,0.75,suffix_less
hope,hopeless,0.75,suffix_less
home,homeless,0.75,suffix_less
end,endless,0.75,suffix_less
meaning,meaningless,0.75,suffix_less
help,helpless,0.75,suffix_less
use,useless,0.75,suffix_less
read,readable,0.85,suffix_able
predict,predictable,0.85,suffix_able
understand,understandable,0.85,suffix_able
access,accessible,0.85,suffix_able
flex,flexible,0.85,suffix_able
reverse,reversible,0.85,suffix_able
teach,teacher,0.85,suffix_er
write,writer,0.85,suffix_er
read,reader,0.85,suffix_er
play,player,0.85,suffix_er
work,worker,0.85,suffix_er
farm,farmer,0.85,suffix_er
paint,painter,0.85,suffix_er
build,builder,0.85,suffix_er
lead,leader,0.85,suffix_er
manage,manager,0.85,suffix_er
program,programmer,0.85,suffix_er
design,designer,0.85,suffix_er
art,artist,0.85,suffix_ist
science,scientist,0.85,suffix_ist
journal,journalist,0.85,suffix_ist
piano,pianist,0.85,suffix_ist
guitar,guitarist,0.85,suffix_ist
novel,novelist,0.85,suffix_ist
music,musician,0.85,suffix_ian
magic,magician,0.85,suffix_ian
library,librarian,0.85,suffix_ian
history,historian,0.85,suffix_ian
run,running,0.95,inflection_ing
walk,walking,0.95,inflection_ing
jump,jumping,0.95,inflection_ing
swim,swimming,0.95,inflection_ing
read,reading,0.95,inflection_ing
write,writing,0.95,inflection_ing
think,thinking,0.95,inflection_ing
talk,talking,0.95,inflection_ing
work,working,0.95,inflection_ing
walk,walked,0.95,inflection_past_regular
talk,talked,0.95,inflection_past_regular
jump,jumped,0.95,inflection_past_regular
play,played,0.95,inflection_past_regular
look,looked,0.95,inflection_past_regular
work,worked,0.95,inflection_past_regular
run,ran,0.9,inflection_past_irregular
go,went,0.9,inflection_past_irregular
eat,ate,0.9,inflection_past_irregular
take,took,0.9,inflection_past_irregular
come,came,0.9,inflection_past_irregular
see,saw,0.9,inflection_past_irregular
write,wrote,0.9,inflection_past_irregular
know,knew,0.9,inflection_past_irregular
run,runs,0.95,inflection_3rd_person
walk,walks,0.95,inflection_3rd_person
eat,eats,0.95,inflection_3rd_person
sleep,sleeps,0.95,inflection_3rd_person
work,works,0.95,inflection_3rd_person
book,books,0.95,inflection_plural_regular
car,cars,0.95,inflection_plural_regular
dog,dogs,0.95,inflection_plural_regular
house,houses,0.95,inflection_plural_regular
table,tables,0.95,inflection_plural_regular
computer,computers,0.95,inflection_plural_regular
phone,phones,0.95,inflection_plural_regular
child,children,0.9,inflection_plural_irregular
man,men,0.9,inflection_plural_irregular
woman,women,0.9,inflection_plural_irregular
tooth,teeth,0.9,inflection_plural_irregular
foot,feet,0.9,inflection_plural_irregular
mouse,mice,0.9,inflection_plural_irregular
person,people,0.9,inflection_plural_irregular
happy,happier,0.9,comparative
happy,happiest,0.85,superlative
big,bigger,0.9,comparative
big,biggest,0.85,superlative
fast,faster,0.9,comparative
fast,fastest,0.85,superlative
small,smaller,0.9,comparative
small,smallest,0.85,superlative
tall,taller,0.9,comparative
tall,tallest,0.85,superlative
good,better,0.85,comparative_irregular
good,best,0.8,superlative_irregular
bad,worse,0.85,comparative_irregular
bad,worst,0.8,superlative_irregular
book,bookstore,0.7,compound
store,bookstore,0.7,compound
sun,sunshine,0.75,compound
sun,sunset,0.75,compound
sun,sunlight,0.75,compound
rain,rainbow,0.7,compound
rain,rainfall,0.75,compound
rain,raincoat,0.7,compound
fire,fireplace,0.7,compound
fire,firefighter,0.7,compound
water,waterfall,0.75,compound
water,waterproof,0.7,compound
air,airplane,0.7,compound
air,airport,0.7,compound
bed,bedroom,0.75,compound
bath,bathroom,0.75,compound
class,classroom,0.75,compound
foot,football,0.7,compound
basket,basketball,0.7,compound
base,baseball,0.7,compound
happy,computer,0.05,unrelated
run,table,0.05,unrelated
book,mountain,0.05,unrelated
teach,ocean,0.05,unrelated
write,elephant,0.05,unrelated
quick,purple,0.05,unrelated
beautiful,concrete,0.05,unrelated
darkness,bicycle,0.05,unrelated
teacher,volcano,0.05,unrelated
running,galaxy,0.05,unrelated
happiness,microscope,0.05,unrelated
carefully,thunder,0.05,unrelated
children,diamond,0.05,unrelated
bigger,asteroid,0.05,unrelated
reorganize,sandwich,0.05,unrelated
underground,melody,0.05,unrelated
bookstore,volcano,0.05,unrelated
sunshine,algorithm,0.05,unrelated
waterfall,telescope,0.05,unrelated
airplane,sculpture,0.05,unrelated
